Outcome,FeatureID,n,beta_SD,conf.low,conf.high,p,singular_fit,model_used,p_fdr_outcome,p_fdr_global
acetate,Actinomyces_SGB17132,68,0.0680494776115643,-0.12482134525585861,0.2609203004789872,0.4926640280610416,FALSE,LMM,0.7473855207779645,0.8061775004635227
acetate,Adlercreutzia_equolifaciens,68,0.047008383009559666,-0.15800202222920293,0.25201878824832225,0.6550103348908247,FALSE,LMM,0.7473855207779645,0.8733471131877663
acetate,Anaerostipes_hadrus,68,0.14828755209598843,-0.07256443062515788,0.36913953481713474,0.19326355613387233,FALSE,LMM,0.6942111830595592,0.7753241258415545
acetate,Bifidobacterium_pseudocatenulatum,68,-0.06718730426968506,-0.25353120497287424,0.11915659643350412,0.4833591590378107,FALSE,LMM,0.7473855207779645,0.8061775004635227
acetate,Blautia_obeum,68,-0.1322399508379333,-0.31685598518489194,0.05237608350902534,0.16712875942753866,FALSE,LMM,0.6942111830595592,0.7753241258415545
acetate,Blautia_wexlerae,68,-0.015135177656881854,-0.21671904705380649,0.18644869174004278,0.8836495631949582,FALSE,LMM,0.8836495631949582,0.9196364562846667
acetate,Clostridium_sp_1001270J_160509_D11,68,-0.04083267643684476,-0.23699457941317323,0.1553292265394837,0.6851033940464675,FALSE,LMM,0.7473855207779645,0.8808472209168868
acetate,Dysosmobacter_welbionis,68,-0.06284850256237584,-0.2649526999912505,0.13925569486649877,0.5451237759284775,FALSE,LMM,0.7473855207779645,0.8532372144967474
acetate,Flavonifractor_plautii,68,0.05224211109286191,-0.1448459458706546,0.24933016805637845,0.6058430509236643,FALSE,LMM,0.7473855207779645,0.8657048829727777
acetate,Hungatella_hathewayi,68,0.1392881000945146,-0.05512277080946429,0.33369897099849344,0.16682909732893259,FALSE,LMM,0.6942111830595592,0.7753241258415545
acetate,Lactobacillus_gasseri,68,-0.08529754552308932,-0.27215175507934136,0.10155666403316271,0.37569970202092506,FALSE,LMM,0.7473855207779645,0.7881497658460327
acetate,Ruminococcus_sp_AF41_9,68,0.12285800691724613,-0.07580351720864364,0.3215195310431359,0.23140372768651973,FALSE,LMM,0.6942111830595592,0.7753241258415545
propionate,Actinomyces_SGB17132,68,-0.20092630027119204,-0.5404725382446488,0.13861993770226474,0.23690459400714164,TRUE,FE_PatientID,0.6532415855769871,0.7753241258415545
propionate,Adlercreutzia_equolifaciens,68,0.16337964220086384,-0.083091094157939,0.40985037855966666,0.19848117569177393,FALSE,LMM,0.6532415855769871,0.7753241258415545
propionate,Anaerostipes_hadrus,68,0.004489005936030558,-0.25036365135568883,0.25934166322775,0.9725739825941582,FALSE,LMM,0.9725739825941582,0.9725739825941582
propionate,Bifidobacterium_pseudocatenulatum,68,-0.17310509185076023,-0.4101811617839749,0.06397097808245442,0.157304037700196,FALSE,LMM,0.6532415855769871,0.7753241258415545
propionate,Blautia_obeum,68,-0.12344560624375325,-0.3635328289555012,0.1166416164679947,0.31737309951320486,FALSE,LMM,0.6532415855769871,0.7881497658460327
propionate,Blautia_wexlerae,68,-0.064057484006425,-0.3198621096284828,0.19174714161563286,0.6252313043692284,FALSE,LMM,0.9378469565538425,0.8657048829727777
propionate,Clostridium_sp_1001270J_160509_D11,68,-0.023721831129930385,-0.2711246447267808,0.22368098246692003,0.851519806221075,FALSE,LMM,0.9725739825941582,0.9196364562846667
propionate,Dysosmobacter_welbionis,68,-0.12784485763888645,-0.38135315260210456,0.1256634373243317,0.32662079278849354,FALSE,LMM,0.6532415855769871,0.7881497658460327
propionate,Flavonifractor_plautii,68,-0.019735408487553906,-0.2714523888791843,0.23198157190407653,0.878351656717246,FALSE,LMM,0.9725739825941582,0.9196364562846667
propionate,Hungatella_hathewayi,68,0.18364902284540668,-0.06003398937777302,0.4273320350685864,0.14450790439113434,FALSE,LMM,0.6532415855769871,0.7753241258415545
propionate,Lactobacillus_gasseri,68,-0.016569356074487878,-0.2595415744039322,0.22640286225495648,0.8940909991656483,FALSE,LMM,0.9725739825941582,0.9196364562846667
propionate,Ruminococcus_sp_AF41_9,68,0.10298212277294341,-0.14473106852975148,0.3506953140756383,0.41815211267687435,FALSE,LMM,0.716832193160356,0.7881497658460327
butyrate,Actinomyces_SGB17132,68,0.09537335456987996,-0.14405242377792393,0.3347991329176838,0.4378609810255737,FALSE,LMM,0.6567914715383605,0.7881497658460327
butyrate,Adlercreutzia_equolifaciens,68,0.12867236175684568,-0.11506567101344659,0.372410394527138,0.30464836303880694,FALSE,LMM,0.6567914715383605,0.7881497658460327
butyrate,Anaerostipes_hadrus,68,0.2058312287248927,-0.04161278626190773,0.45327524371169314,0.10809593205376565,FALSE,LMM,0.6567914715383605,0.7753241258415545
