"ClinVar","Category","Species","lfc_T0","q_T0","sign_T0","lfc_T12","q_T12","sign_T12"
"ALT","common_same","Longicatena_caecimuris",0.446656431441534,0.00576348439474235,"+",0.0133249189086449,0.00632162801385001,"+"
"ALT","common_same","Bittarella_massiliensis",0.210020410639795,0.013421344314562,"+",0.0455445485448453,0.00270671202743318,"+"
"ALT","common_same","Bifidobacterium_pseudocatenulatum",0.19426454529096,0.00270914217099406,"+",0.0427238891839504,3.41155808196208e-09,"+"
"ALT","common_same","Bifidobacterium_animalis",0.147480956943718,0.0013312292684242,"+",0.0578628822817348,0.000178239471552462,"+"
"ALT","common_same","Hydrogeniiclostridium_mannosilyticum",0.141318408896917,0.00651988037319481,"+",1.43884753119337,0.00177222286769516,"+"
"ALT","common_same","Clostridium_leptum",-0.0917924502912328,0.0122151648289655,"-",-0.072205540232868,8.85441078514767e-05,"-"
"ALT","common_same","Evtepia_gabavorous",0.0607995175954628,0.0153121477913171,"+",0.08260398864491,7.15769378654245e-06,"+"
"ALT","common_same","Ruminococcus_bicirculans",-0.0501167035368862,0.0470550164845445,"-",-0.107434112368035,2.49684814564129e-06,"-"
"ALT","common_same","Latilactobacillus_sakei",-0.0496796575879896,0.0151690648164014,"-",-0.229695570742102,0.0104647136300657,"-"
"ALT","common_same","Flavonifractor_plautii",-0.0410147002800673,0.00331173109543716,"-",-0.00870163414300422,0.0106211492209634,"-"
"ALT","common_same","Lacticaseibacillus_paracasei",0.0399946472032333,0.023144001616835,"+",0.0941515241946087,0.000717194084525643,"+"
"ALT","common_same","Schaalia_odontolytica",-0.0381033183389149,0.0203673926234723,"-",-0.0136648801987595,0.00743773588137537,"-"
"ALT","common_flip","Bifidobacterium_breve",0.556819866644277,0.00395922958635544,"+",-0.0771662243480689,0.00106699632164141,"-"
"ALT","common_flip","Actinomyces_naeslundii",0.197494352122822,0.0013312292684242,"+",-0.0495267157395376,0.00267240405551417,"-"
"ALT","common_flip","Zhenpiania_hominis",-0.193728259418821,0.0151690648164014,"-",0.0376409737109375,5.4565497552147e-05,"+"
"ALT","common_flip","GGB9715_SGB15265",-0.172680772502644,0.0013312292684242,"-",0.0296114900890265,0.00632162801385001,"+"
