"Outcome","FeatureID","n","beta_SD","conf.low","conf.high","p","singular_fit","model_used","p_fdr_outcome","p_fdr_global"
"serum_cholesterol_mgdL","Adlercreutzia_equolifaciens",17,-0.0296649364121448,-0.454478579161302,0.395148706337012,0.894182144283092,FALSE,"LMM",0.894182144283092,0.913089711029112
"serum_cholesterol_mgdL","Clostridium_SGB6179",17,-0.148534228955581,-0.580681553755079,0.283613095843918,0.517930237503266,FALSE,"LMM",0.894182144283092,0.913089711029112
"serum_cholesterol_mgdL","Flavonifractor_plautii",17,-0.0912652659529658,-0.486593634114659,0.304063102208728,0.661427109234491,FALSE,"LMM",0.894182144283092,0.913089711029112
"serum_HDL_mgdL","Adlercreutzia_equolifaciens",15,0.152835617559819,-0.452659041180448,0.758330276300085,0.630337709515315,FALSE,"LMM",0.760596284684341,0.913089711029112
"serum_HDL_mgdL","Clostridium_SGB6179",15,-0.0997402933204142,-0.725599779092581,0.526119192451753,0.760596284684341,FALSE,"LMM",0.760596284684341,0.913089711029112
"serum_HDL_mgdL","Flavonifractor_plautii",15,0.112800918206066,-0.465876742986264,0.691478579398397,0.709848796729645,FALSE,"LMM",0.760596284684341,0.913089711029112
"serum_LDL_mgdL","Adlercreutzia_equolifaciens",15,-0.06103608727725,-0.581102906455566,0.459030731901065,0.823721673379905,FALSE,"LMM",0.823721673379905,0.913089711029112
"serum_LDL_mgdL","Clostridium_SGB6179",15,-0.197968874069751,-0.71253522966388,0.316597481524379,0.473962213234713,FALSE,"LMM",0.823721673379905,0.913089711029112
"serum_LDL_mgdL","Flavonifractor_plautii",15,-0.0988930115909867,-0.604756997835031,0.406970974653057,0.711088615153158,FALSE,"LMM",0.823721673379905,0.913089711029112
"LDL_HDL_ratio","Adlercreutzia_equolifaciens",15,-0.0543378638129798,-1.27132091694025,1.1626451893143,0.913089711029112,TRUE,"FE_PatientID",0.913089711029112,0.913089711029112
"LDL_HDL_ratio","Clostridium_SGB6179",15,-0.153525947032573,-1.43091632366707,1.12386442960192,0.769817762115794,TRUE,"FE_PatientID",0.913089711029112,0.913089711029112
"LDL_HDL_ratio","Flavonifractor_plautii",15,-0.14084255528429,-1.2949536413372,1.01326853076862,0.766412394432153,TRUE,"FE_PatientID",0.913089711029112,0.913089711029112
"serum_triglycerides_mgdL","Adlercreutzia_equolifaciens",17,0.119178572152615,-0.384589659387787,0.622946803693016,0.652828127216146,FALSE,"LMM",0.652828127216146,0.913089711029112
"serum_triglycerides_mgdL","Clostridium_SGB6179",17,0.367878796726948,-0.148940617879855,0.884698211333752,0.188955876245679,FALSE,"LMM",0.566867628737038,0.913089711029112
"serum_triglycerides_mgdL","Flavonifractor_plautii",17,-0.205408633318251,-0.669354581561561,0.258537314925059,0.404184634899586,FALSE,"LMM",0.60627695234938,0.913089711029112
"non_HDL_mgdL","Adlercreutzia_equolifaciens",15,-0.0425773357153034,-0.587239064632168,0.502084393201561,0.881643165884648,FALSE,"LMM",0.881643165884648,0.913089711029112
"non_HDL_mgdL","Clostridium_SGB6179",15,-0.120409228037545,-0.674028522501073,0.433210066425984,0.680786976957633,FALSE,"LMM",0.881643165884648,0.913089711029112
"non_HDL_mgdL","Flavonifractor_plautii",15,-0.125151961312891,-0.651156362624098,0.400852439998316,0.651928223875126,FALSE,"LMM",0.881643165884648,0.913089711029112
