taxon,lfc_(Intercept),lfc_AST,lfc_Age,lfc_Sexmale,se_(Intercept),se_AST,se_Age,se_Sexmale,W_(Intercept),W_AST,W_Age,W_Sexmale,p_(Intercept),p_AST,p_Age,p_Sexmale,q_(Intercept),q_AST,q_Age,q_Sexmale,diff_(Intercept),diff_AST,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_AST,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,-3.787569392183958,0.2844627505905585,-0.16371653800435906,-0.2539329575148552,0.7941354147482125,0.020571119373256244,0.007630557649551795,0.1783286502551964,-4.7694251154695575,13.82825822110478,-21.45538314804233,-1.4239605198125236,0.13157341327411143,0.04595759527552862,0.029650339189935287,0.38976765078984354,0.5208114275433577,0.4915249518500753,0.1337752318556319,0.9031201664642715,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Staphylococcus_aureus,-5.394231902791533,0.23787370398782803,-0.04275727325844071,-2.4186101919898904,0.7837805959979921,0.020058573392576187,0.007719771552779878,0.1909251495396783,-6.882323867590812,11.85895424027846,-5.538670796941379,-12.667844952962847,0.0023357700939911977,0.00028950348894248463,0.005195012492389516,2.2361977918173036e-4,0.13097924625496773,0.02750283144953604,0.061690773347125506,0.007081293007421462,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Streptococcus_mitis,0.09931450574311407,-1.0312514518822819e-4,-6.180985230995035e-4,-0.7176300221538382,0.8728867182144411,0.023625830499060335,0.010423751198193554,0.3303530375381211,0.11377708432346154,-0.004364932068412569,-0.05929712934884905,-2.1723124676007473,0.9112959126135797,0.996589024174674,0.9536915021876935,0.0505851647537613,1,1,1,0.14562395913961587,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,0.6456201108316322,-0.0097436601177713009,-0.0014503190616986978,-0.6377968549626475,0.8496919075902006,0.025436492828221392,0.009670799948876882,0.3005083593777084,0.7598284802578223,-0.38305831639497334,-0.14996888255010699,-2.122393055166235,0.5026122642881649,0.7272075094014621,0.8903043901020339,0.12390097024574027,1,1,1,0.3181241127931169,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Lancefieldella_parvula,-1.3711783640562591,0.03353370803917196,0.0045363077514077345,0.1780504868435775,0.9032035258666155,0.02414088335136302,0.009872663889099183,0.36222690402131313,-1.5181277804918067,1.3890837195598567,0.45948163559142935,0.49154407048986387,0.17978085076819977,0.21416929933767528,0.6620656412585324,0.6405041855377531,0.6325622527029251,0.7015890840372122,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Schaalia_odontolytica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_salivarius,-0.5128596756136046,0.11029127432079094,-0.07390716545321634,-0.6597201652793949,0.7884508215304797,0.020494500220313253,0.0079169487010297,0.20675872210750984,-0.6504650152029534,5.381505922817042,-9.335309377917755,-3.1907730834994976,0.5617655508067056,0.012567401231113925,0.0026027300474367704,0.049681636753429334,1,0.29847577923895574,0.061690773347125506,0.14562395913961587,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_graevenitzii,4.123066990984642,-0.06096663890975283,-0.1533529675825807,4.339993884337267,0.7963924509421654,0.020589491798822687,0.0076762076082015985,0.17585180943370898,5.177179901827148,-2.9610560331187448,-19.977699328862816,24.67983638219724,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Solobacterium_moorei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
