taxon,lfc_(Intercept),lfc_Elastase,lfc_Age,lfc_Sexmale,se_(Intercept),se_Elastase,se_Age,se_Sexmale,W_(Intercept),W_Elastase,W_Age,W_Sexmale,p_(Intercept),p_Elastase,p_Age,p_Sexmale,q_(Intercept),q_Elastase,q_Age,q_Sexmale,diff_(Intercept),diff_Elastase,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_Elastase,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,14.585329705412859,-0.047820370569733574,-0.42310226170262605,NA,0.4857100184502263,0.0011212059270192018,0.014709528452452776,NA,30.028883801801808,-42.65083640510812,-28.763822244218495,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_mitis,0.23247869841600588,0.009670936348639886,0.01540685389228384,-1.789225011728736,1.4118027026963387,0.005077124912177121,0.035636058347638534,1.6973526629024647,0.16466797943650713,1.9048056756383591,0.4323388895030472,-1.0541268475516279,0.8746128868090562,0.10546475401064609,0.6806014950490302,0.33241179432438483,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,0.8637543585349046,-0.004852761392866211,-0.009389824005314915,-0.08169430593346384,0.6549721314826941,0.0016593442844074734,0.014484376316838465,0.5405038509959528,1.3187650542925842,-2.924505443786826,-0.6482725800488213,-0.15114472502449489,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Lancefieldella_parvula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Schaalia_odontolytica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_salivarius,2.6409669861243414,-0.01321981378766719,-0.02582573766415309,-0.4744970296064607,1.1102413475499329,0.0028571440378877965,0.02097521929299169,0.9878121025427469,2.378732328743111,-4.626932913553849,-1.2312499480175672,-0.48035150448658037,0.14043747337436507,0.04367318349721012,0.343366179973862,0.6783860228780845,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_graevenitzii,-0.8160763868778561,-0.0039691269406470836,0.012623831151023012,1.6123747353904205,1.313203584729198,0.004100548403860314,0.024253589709360555,1.3268051145041795,-0.6214393536293484,-0.9679502714589325,0.520493308508097,1.2152310220728664,0.5679742041171509,0.38788212570304836,0.6302017809010907,0.29109977535255926,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Solobacterium_moorei,-1.2108624137397808,0.011350585731448282,0.023816423199123814,NA,0.48476875475678266,0.0011735708993525521,0.014588524373313174,NA,-2.4978144772290296,9.67183639072023,1.632545046344184,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Gemella_sanguinis,0.42872239858219324,0.0021129734520556145,0.0463854386758219,-1.7555164624824442,1.0702830082773231,0.002923267824257763,0.019055158823622444,0.9680844606525165,0.40056919082761533,0.7228121332304243,2.434271952554835,-1.8133918411407781,0.7092102922642682,0.5097981341742842,0.07164978057672727,0.1439784548076203,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_australis,-4.2394286580654095,0.00686235159498851,0.08611685088432544,1.5669575436158936,0.6872063653576271,0.0027492739046918466,0.017041205469700806,0.8040145430725023,-6.169076527484114,2.4960596262443624,5.053448304313967,1.948916915890404,0.02528374471757863,0.1299448893780239,0.036998783406165636,0.19063608036487245,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Schaalia_SGB17157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ph3,94.79093909088837,-4.717816057598823,-0.5832895519811757,NA,0.49463384942571387,0.0016255733570303204,0.01820313162405054,NA,191.63860136329885,-2902.247405320156,-32.04336286897555,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Veillonella_dispar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_oris,-0.1517379011006593,0.0011202516048835927,0.053775212963179615,-1.1585289615483956,1.095757834872122,0.0028804363465738886,0.01626166639618869,0.9526588118596548,-0.13847758717451245,0.38891732713207383,3.306869766789898,-1.2161006092904008,0.912399538431544,0.7638675462652962,0.18694841771773502,0.4381163790175237,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_parasanguinis,-0.8105681456136458,-0.0014182521602386544,0.05541608676851886,-0.14860649091433795,1.447641694892512,0.003521441474920492,0.018058429612095587,1.1247280592430053,-0.5599231829764553,-0.40274761637794254,3.0687101790623594,-0.13212659690766235,0.6318774802083273,0.7261047626241675,0.09180268705878039,0.906977488938518,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Abiotrophia_defectiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Abiotrophia_sp_HMSC24B09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Mogibacterium_diversum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Actinomyces_SGB17132,-0.7852373260716788,-5.147116030981428e-4,0.019230382672624207,1.178685224586299,0.5586366351689181,0.0025600014254324632,0.01816943305368298,0.756177835102305,-1.4056316335827888,-0.20105910800857937,1.0583920046270332,1.5587407748163264,0.2544976564101281,0.8535122327992388,0.3675551069289369,0.21694769967751343,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Schaalia_SGB17158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_rubneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
