taxon,lfc_(Intercept),lfc_Calprotectin,lfc_Age,lfc_Sexmale,se_(Intercept),se_Calprotectin,se_Age,se_Sexmale,W_(Intercept),W_Calprotectin,W_Age,W_Sexmale,p_(Intercept),p_Calprotectin,p_Age,p_Sexmale,q_(Intercept),q_Calprotectin,q_Age,q_Sexmale,diff_(Intercept),diff_Calprotectin,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_Calprotectin,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,19.96799865909985,-0.3078935632829579,-0.8993874040964395,5.368785286482983,0.31815607299486,0.0024425182156613684,0.008958443342594028,0.26072874855552425,62.76164547524588,-126.05579000752246,-100.39550061339237,20.591458810073096,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Staphylococcus_aureus,3.1895594288486184,-0.04260344321123087,-0.1231431617028842,1.9604031206511252,0.3969900895104463,0.0026093198293857716,0.009828918954156596,0.30554447745405877,8.034355297840978,-16.32741327124304,-12.528657757505226,6.416097377986119,0.004026356913339862,4.999017925783678e-4,0.00109618873607843,0.0076722916523519966,0.1900560826642985,0.04749067029494494,0.05206896496372543,0.1572561591010309,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Streptococcus_mitis,0.11329637109294544,0.005386108605103147,0.027617815885001267,-1.0254679675104255,0.4894845841324304,0.005744281582947156,0.019703654149211058,0.46904212684319013,0.23146055006768718,0.9376470368536068,1.40165959450253,-2.186302485050046,0.8221336699358387,0.3729043274367785,0.1945482053100284,0.05659028015469286,1,1,0.964254462180309,0.4135443549766017,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,0.26886240770652525,0.007833554589007146,-0.014765898911027244,-0.06781401097106886,0.39919467021358784,0.004872718631191207,0.01933557192344988,0.48412951976153645,0.6735120174892898,1.607635322684766,-0.7636649678367876,-0.14007410868990477,0.5700263555379053,0.24916940339501248,0.5248560738856538,0.9014349480834785,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Lancefieldella_parvula,0.17469266359817692,-0.011588405924322016,0.08383616778142482,-0.5118218382608265,0.5291171676439793,0.005264397177517659,0.014829065626384355,0.3960712274222742,0.3301587517487625,-2.2012788043067717,5.653503052293517,-1.292246956669599,0.7578478623243436,0.09252068074117284,0.004823035161891219,0.2658716549395867,1,0.8960224276982451,0.10808757869141115,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Schaalia_odontolytica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_salivarius,4.473263323375799,0.014227280850344654,-0.08026691457380024,-2.506948357242631,0.34885153711430394,0.003324611282359372,0.010662245158598909,0.3375781866656966,12.822828187539558,4.27938175083374,-7.528143780211845,-7.426274730615991,0.006026877046694734,0.05050465538147471,0.017191401634810415,0.017653776513374218,0.1900560826642985,0.8960224276982451,0.20414789441337367,0.2395869669672215,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_graevenitzii,3.1383842820059358,0.00856435074455458,-0.19785173001127251,5.688072467263209,0.3206845956140931,0.0023819742126399116,0.008882674082557726,0.25751884161766453,9.78651399203041,3.5954842412264485,-22.273892768370263,22.087985607314238,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Solobacterium_moorei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Gemella_sanguinis,-0.12452039354288395,3.8522331730784343e-4,-0.020398692992309207,1.314106652261367,0.3275510673829531,0.003413020275066073,0.01378942745288471,0.3225503808109985,-0.3801556640855093,0.1128687456450536,-1.4792994895550835,4.074112853183641,0.723154025687013,0.9155723599631244,0.21315098637669988,0.015171585381356578,1,1,0.964254462180309,0.2395869669672215,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Shuttleworthia_satelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
